"article_id","topic","gamma"
"004e0185cfda2af443300e907e142f50",3,0.000519400112634592
"004e0185cfda2af443300e907e142f50",4,0.464008026765509
"004e0185cfda2af443300e907e142f50",5,0.00696218085441342
"004ee93678eccd61c24cbd0266cfa15a",1,0.0002332808678638
"004ee93678eccd61c24cbd0266cfa15a",2,0.000233285480040346
"004ee93678eccd61c24cbd0266cfa15a",3,0.999066869175026
"004ee93678eccd61c24cbd0266cfa15a",4,0.00023327587203213
"004ee93678eccd61c24cbd0266cfa15a",5,0.000233288605037941
"00511f985868f0777b4711700e6353b2",1,0.00025342912422913
"00511f985868f0777b4711700e6353b2",2,0.00025338887233475
"00511f985868f0777b4711700e6353b2",3,0.998986374193594
"00511f985868f0777b4711700e6353b2",4,0.000253391628247693
"00511f985868f0777b4711700e6353b2",5,0.000253416181594766
"005d8a7edb5220957682ed5b3e90755b",1,0.452508999633655
"005d8a7edb5220957682ed5b3e90755b",2,0.169730444417028
"005d8a7edb5220957682ed5b3e90755b",3,0.152470080466805
"005d8a7edb5220957682ed5b3e90755b",4,0.0313180342367432
"005d8a7edb5220957682ed5b3e90755b",5,0.193972441245769
"005f6d864082a2c0ba4ed10e42f881d5",1,0.0810726063931781
"005f6d864082a2c0ba4ed10e42f881d5",2,0.00114259657472551
"005f6d864082a2c0ba4ed10e42f881d5",3,0.00114275785391671
"005f6d864082a2c0ba4ed10e42f881d5",4,0.915499289328959
"005f6d864082a2c0ba4ed10e42f881d5",5,0.00114274984922081
"005f709ce3604aa4c32244f1010b61f2",1,0.000481796318724902
"005f709ce3604aa4c32244f1010b61f2",2,0.751585495500549
"005f709ce3604aa4c32244f1010b61f2",3,0.000481802177660373
"005f709ce3604aa4c32244f1010b61f2",4,0.00048188381842506
"005f709ce3604aa4c32244f1010b61f2",5,0.246969022184641
"00618b1060c7920f462335b1c09c5cf1",1,0.744684054337648
"00618b1060c7920f462335b1c09c5cf1",2,0.00104694884311856
"00618b1060c7920f462335b1c09c5cf1",3,0.00104683397694089
"00618b1060c7920f462335b1c09c5cf1",4,0.00104685059337293
"00618b1060c7920f462335b1c09c5cf1",5,0.25217531224892
"00662d745229b74a231da85cdf8cd1a8",1,0.000593444633332269
"00662d745229b74a231da85cdf8cd1a8",2,0.000593332507882593
"00662d745229b74a231da85cdf8cd1a8",3,0.000593400011303976
"00662d745229b74a231da85cdf8cd1a8",4,0.997626483988628
"00662d745229b74a231da85cdf8cd1a8",5,0.000593338858853355
"00664ddf5a4876efb6a7684670b615c1",1,0.461744756903502
"00664ddf5a4876efb6a7684670b615c1",2,0.000600390560719494
"00664ddf5a4876efb6a7684670b615c1",3,0.437755850157839
"00664ddf5a4876efb6a7684670b615c1",4,0.000600382576739297
"00664ddf5a4876efb6a7684670b615c1",5,0.0992986198012007
"006abebe09452c6a5a79da5c0ee1ab30",1,0.000541893819511661
"006abebe09452c6a5a79da5c0ee1ab30",2,0.00054196206609224
"006abebe09452c6a5a79da5c0ee1ab30",3,0.000541804642386374
"006abebe09452c6a5a79da5c0ee1ab30",4,0.99783246086791
"006abebe09452c6a5a79da5c0ee1ab30",5,0.000541878604099954
"006bce247cf87de1374323b4f6afdaf9",1,0.66075601354976
"006bce247cf87de1374323b4f6afdaf9",2,0.0446511967205041
"006bce247cf87de1374323b4f6afdaf9",3,0.000316853297745609
"006bce247cf87de1374323b4f6afdaf9",4,0.0290204254399486
"006bce247cf87de1374323b4f6afdaf9",5,0.265255510992042
"00718a712465883f9b758c0e3e581146",1,0.000994985942989055
"00718a712465883f9b758c0e3e581146",2,0.000994709089788881
"00718a712465883f9b758c0e3e581146",3,0.000994730598873111
"00718a712465883f9b758c0e3e581146",4,0.996020822905201
"00718a712465883f9b758c0e3e581146",5,0.000994751463148302
"0074e42b26750ad87913c52597698d7f",1,0.240771042559725
"0074e42b26750ad87913c52597698d7f",2,0.00219766979809836
"0074e42b26750ad87913c52597698d7f",3,0.00219754545894782
"0074e42b26750ad87913c52597698d7f",4,0.00219706281813055
"0074e42b26750ad87913c52597698d7f",5,0.752636679365099
"0075aeefea870bd0651e5cd9ce2342ff",1,0.468222239076047
"0075aeefea870bd0651e5cd9ce2342ff",2,0.000519329572778005
"0075aeefea870bd0651e5cd9ce2342ff",3,0.530219775720624
"0075aeefea870bd0651e5cd9ce2342ff",4,0.000519293854963926
"0075aeefea870bd0651e5cd9ce2342ff",5,0.000519361775587151
"0079848d905c66c44a92e077f9ab4466",1,0.178184763683768
"0079848d905c66c44a92e077f9ab4466",2,0.763279572958541
"0079848d905c66c44a92e077f9ab4466",3,0.000197753003543984
"0079848d905c66c44a92e077f9ab4466",4,0.0581401439337264
"0079848d905c66c44a92e077f9ab4466",5,0.000197766420420241
"00807438ed57c18b0bf21d2e86dff328",1,0.000377999556933219
"00807438ed57c18b0bf21d2e86dff328",2,0.461065208056767
"00807438ed57c18b0bf21d2e86dff328",3,0.000377962930038441
"00807438ed57c18b0bf21d2e86dff328",4,0.537800832142357
"00807438ed57c18b0bf21d2e86dff328",5,0.000377997313904595
"0082142bae47cc60fb9a284cfa7a7900",1,0.696206985862031
"0082142bae47cc60fb9a284cfa7a7900",2,0.000315911793522928
"0082142bae47cc60fb9a284cfa7a7900",3,0.000315870113987049
"0082142bae47cc60fb9a284cfa7a7900",4,0.00031586850578614
"0082142bae47cc60fb9a284cfa7a7900",5,0.302845363724673
"0085cdab5a6163be905674fa5f156d90",1,0.0716647695589651
"0085cdab5a6163be905674fa5f156d90",2,0.000556953295149483
"0085cdab5a6163be905674fa5f156d90",3,0.00055696701402427
"0085cdab5a6163be905674fa5f156d90",4,0.926664352546852
"0085cdab5a6163be905674fa5f156d90",5,0.000556957585008742
"008ce6ee8efdc230c450eacf91472ec8",1,0.833739374343634
"008ce6ee8efdc230c450eacf91472ec8",2,0.0426986727070745
"008ce6ee8efdc230c450eacf91472ec8",3,0.0712181472263425
"008ce6ee8efdc230c450eacf91472ec8",4,0.00072183476258113
